kind	local_symbol	issue_url	upstream_symbol	removal_condition
type	mecmcp_server::BoundedText	https://github.com/fastrevmd-lab/mecmcp/issues/101	mecmcp_server::BoundedText	milestone 4 (chunk 6) lands preflight extraction in mecmcp
type	mecmcp_transport::MalformedArgumentsPolicy	https://github.com/fastrevmd-lab/mecmcp/issues/109	mecmcp_transport::MalformedArgumentsPolicy	milestone 4 (chunk 6) lands preflight extraction in mecmcp
type	mecmcp_transport::MalformedTargetPolicy	https://github.com/fastrevmd-lab/mecmcp/issues/110	mecmcp_transport::MalformedTargetPolicy	milestone 4 (chunk 6) lands preflight extraction in mecmcp
type	mecmcp_transport::TargetValueShape	https://github.com/fastrevmd-lab/mecmcp/issues/111	mecmcp_transport::TargetValueShape	milestone 4 (chunk 6) lands preflight extraction in mecmcp
type	mecmcp_transport::TargetField	https://github.com/fastrevmd-lab/mecmcp/issues/112	mecmcp_transport::TargetField	milestone 4 (chunk 6) lands preflight extraction in mecmcp
type	mecmcp_transport::ToolScopePreflight	https://github.com/fastrevmd-lab/mecmcp/issues/113	mecmcp_transport::ToolScopePreflight	milestone 4 (chunk 6) lands preflight extraction in mecmcp
function	mecmcp_server::bounded_text	https://github.com/fastrevmd-lab/mecmcp/issues/124	mecmcp_server::bounded_text	milestone 4 (chunk 6) lands preflight extraction in mecmcp
method	TargetField::scalar	https://github.com/fastrevmd-lab/mecmcp/issues/142	TargetField::scalar	milestone 4 (chunk 6) lands preflight extraction in mecmcp
method	ToolScopePreflight::new	https://github.com/fastrevmd-lab/mecmcp/issues/143	ToolScopePreflight::new	milestone 4 (chunk 6) lands preflight extraction in mecmcp
method	ToolScopePreflight::request_exceeds_scope	https://github.com/fastrevmd-lab/mecmcp/issues/144	ToolScopePreflight::request_exceeds_scope	milestone 4 (chunk 6) lands preflight extraction in mecmcp
method	ToolScopePreflight::check	https://github.com/fastrevmd-lab/mecmcp/issues/145	ToolScopePreflight::check	milestone 4 (chunk 6) lands preflight extraction in mecmcp
function	mecmcp_transport::target_value_in_scope	https://github.com/fastrevmd-lab/mecmcp/issues/146	mecmcp_transport::target_value_in_scope	milestone 4 (chunk 6) lands preflight extraction in mecmcp
function	mecmcp_transport::value_has_shape	https://github.com/fastrevmd-lab/mecmcp/issues/147	mecmcp_transport::value_has_shape	milestone 4 (chunk 6) lands preflight extraction in mecmcp
